Date,Open,High,Low,Close
27/02 13:50,22149.55,22167.5,22146.9,22155.2
27/02 13:45,22167.85,22169.85,22143.75,22149.1
27/02 13:40,22190.5,22191.1,22166.15,22168.4
27/02 13:35,22199.45,22202.75,22187.3,22190.6
27/02 13:30,22191.45,22206.1,22191.45,22198.7
27/02 13:25,22204.5,22207,22187.65,22191.4
27/02 13:20,22212.15,22218.25,22200.05,22204.65
27/02 13:15,22204.55,22215.7,22194.75,22212.3
27/02 13:10,22184.6,22206.25,22182.25,22205.95
27/02 13:05,22194.85,22198.8,22179.1,22184.05
27/02 13:00,22204.9,22209.75,22190.05,22195.3
27/02 12:55,22198.65,22207.7,22195.65,22205
27/02 12:50,22183.7,22202.35,22183.35,22199.75
27/02 12:45,22161.35,22184.1,22159.9,22183.2
27/02 12:40,22154.7,22164.5,22153.6,22161.1
27/02 12:35,22130.65,22156.7,22130.3,22155.65
27/02 12:30,22132.85,22142.85,22127.75,22130.8
27/02 12:25,22128.15,22135.7,22124.95,22132.5
27/02 12:20,22117.05,22129.1,22117.05,22128.05
27/02 12:15,22124.9,22131.45,22115.45,22117.7
27/02 12:10,22115.9,22125.5,22109,22124.3
27/02 12:05,22120.45,22125.25,22112.85,22115.75
27/02 12:00,22136.65,22144.8,22120.1,22120.65
27/02 11:55,22135.8,22141.6,22125.15,22136
27/02 11:50,22148.1,22152.65,22134.2,22135.55
27/02 11:45,22152.8,22156.95,22143,22147.8
27/02 11:40,22162.75,22169.05,22147.7,22153.8
27/02 11:35,22166,22167.05,22161.35,22163.7
27/02 11:30,22162.5,22166.6,22160.4,22166.1
27/02 11:25,22153.05,22170,22151.7,22162.4
27/02 11:20,22132.25,22154.9,22125.7,22152.1
27/02 11:15,22144.65,22148,22130.95,22131.95
27/02 11:10,22145.05,22150.7,22142.25,22145.1
27/02 11:05,22153.3,22156.8,22144.1,22144.4
27/02 11:00,22147,22158.65,22146.9,22153
27/02 10:55,22140.85,22148.95,22140.75,22147.15
